assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
2828,1692848,6410,iron,1366,9702,667,9271,1832300
2787,1315016,1879,iron,1157,4860,440,6893,978580
2785,1540524,3287,bronze,1308,7276,605,8329,1565588
2771,1553627,3174,iron,1423,5446,614,8681,1071070
2596,1621822,2688,iron,1300,6479,625,8839,1254742
2527,891518,1885,iron,876,5281,355,5181,990213
2318,1423665,5647,iron,912,10187,694,7379,1806897
2316,1244561,6058,iron,756,8505,569,6379,1610387
2200,1290842,2078,iron,996,5359,436,6527,989319
2111,1263387,1711,iron,988,6026,505,6737,1094285
2099,875040,1320,iron,736,3858,343,5459,743680
2097,1184540,2260,iron,928,5822,430,6304,1096735
1865,1018298,1762,iron,1054,3802,347,5517,723522
1848,1350249,2665,iron,1156,6138,445,6864,1113057
1845,857488,1808,iron,704,3625,297,4471,716339
1825,991104,1912,iron,819,4244,350,5209,848510
1822,705649,2305,iron,575,3623,306,3986,707762
1788,1150754,3669,iron,774,6574,456,6318,1219515
1775,983906,3794,iron,820,5880,400,5377,1081021
1727,724910,1637,iron,711,3038,275,3962,580860
1715,1117375,2702,iron,947,5433,364,5893,1023107
1692,902066,1895,iron,820,4124,322,4722,821699
1629,1011592,1715,iron,847,4134,381,5347,823776
1619,678217,1264,iron,632,3053,236,3672,562497
1606,833119,1782,iron,767,4321,294,4444,770504
1560,1021377,2325,iron,726,5121,414,5316,938775
1559,836617,1983,iron,540,3965,343,4275,775333
1542,1287753,4484,iron,802,6839,455,6795,1315378
1534,995312,2528,iron,680,5251,349,5047,976334
1533,935489,1973,iron,881,4054,299,4873,791554
1524,902255,2438,iron,755,4535,308,4949,871776
1513,888961,3627,iron,740,5672,414,4675,1054774
1513,780426,1452,iron,598,4055,275,4241,770641
1498,813832,1695,iron,703,3705,257,4190,713461
1492,912228,5734,iron,767,7433,483,4862,1346928
1482,916800,1260,iron,788,4076,309,4793,784948
1477,811430,2489,iron,755,4375,303,4595,845904
1477,838733,1435,iron,709,3509,273,4384,636598
1472,819222,1310,iron,639,3109,315,4125,589779
1443,846480,2112,iron,720,4061,295,4581,793089
1433,830873,2410,iron,793,4401,312,4443,830344
1423,691856,981,iron,514,2762,251,3613,533811
1422,1077419,1335,iron,1062,3221,381,5736,616488
1410,767137,1424,iron,775,3305,263,4248,624122
1408,701524,962,iron,599,2828,247,3701,514955
1399,908493,1202,iron,933,2532,361,4838,492742
1372,702422,928,iron,609,3045,242,3764,562440
1372,693202,1278,iron,604,2936,256,3813,566709
1354,814490,2269,iron,654,4176,280,4199,795855
1351,656698,1052,iron,547,2450,225,3727,491469
1337,693522,1193,iron,649,2954,233,3941,567375
1318,794971,1482,iron,640,3213,274,4198,633040
1311,848865,1789,iron,762,4178,318,5023,768969
1304,917764,968,iron,825,2742,329,5051,507069
1289,594748,1535,iron,501,2773,228,3175,529118
1279,588462,1014,iron,524,2992,203,3016,562638
1278,599894,1049,iron,397,2828,208,3082,508086
1270,732894,1075,iron,588,3126,274,4176,593500
1268,552177,1965,iron,598,3473,350,2866,629408
1267,567474,2005,iron,390,3500,314,3277,632599
1264,697604,1628,iron,701,2703,258,3796,525770
1262,695948,1664,iron,644,3357,232,3665,599196
1261,685395,1117,iron,709,2647,245,3732,549131
1253,595786,983,iron,469,2635,233,3164,482808
1251,686004,2156,iron,489,3248,263,3764,619709
1241,636836,1022,iron,611,2793,242,3661,527491
1227,844209,2279,iron,671,3927,315,4350,745915
1214,606551,1103,iron,502,2786,227,3262,547720
1211,864668,3244,bronze,695,4407,323,4818,878592
1207,656406,7211,iron,509,8507,458,3288,1498599
1205,783837,1299,iron,654,3498,258,4251,631530
1201,619558,1566,iron,484,2579,217,3312,500654
1198,740062,1246,iron,699,3218,240,4125,599833
1195,682895,1054,iron,521,3005,275,3754,539300
1189,777701,1384,iron,689,3071,270,4171,574744
1182,604663,1628,iron,505,2894,215,3248,540928
1182,742902,1303,iron,590,3370,254,3775,634132
1165,692281,1350,iron,564,2960,244,3722,558910
1165,857702,1556,iron,769,2518,287,4596,521365
1149,587305,916,iron,524,2735,224,3216,485732
1134,867140,4961,iron,637,7543,532,4470,1289669
1133,718726,1195,iron,494,2884,264,3915,550133
1132,757496,2479,iron,462,4587,382,4292,810146
1131,595343,1174,iron,472,2592,206,3024,492268
1131,647150,1894,iron,737,3294,234,3693,631595
1122,588102,861,iron,534,2407,205,3165,484009
1120,590856,1139,iron,497,2672,200,3118,516821
1118,671733,1445,iron,593,2769,232,3651,533805
1117,748302,1294,iron,728,3167,252,3890,542195
1117,554127,1819,iron,450,2659,247,3017,506443
1105,589736,1187,iron,581,2988,207,3218,555777
1092,685491,1111,iron,667,2631,251,3950,500225
1092,702668,1356,iron,579,2911,262,3815,566291
1060,779316,1283,iron,637,3189,283,4131,578256
1053,654565,1487,iron,531,3225,245,3709,614496
1030,558913,1017,iron,431,2582,236,2945,486109
1021,698304,1611,iron,639,2681,227,3637,519982
1019,895451,1883,iron,629,3934,300,4764,749002
1016,572797,1311,iron,511,2931,211,3305,566117
1013,564822,1397,iron,549,2749,207,3175,542004
981,629184,1356,iron,479,2634,219,3358,520998
969,913580,1869,iron,690,3861,298,4651,702728
964,603265,1578,iron,462,3065,199,3099,566435
962,551957,1128,iron,534,2588,191,2904,479613
960,574570,1736,iron,403,2712,227,2978,505493
954,610298,1118,iron,598,2820,213,3347,530225
944,586533,1008,iron,602,2822,220,3348,528729
935,585642,2184,iron,523,3521,366,3317,634686
935,599496,1726,iron,531,2769,214,3187,535964
932,559806,1005,iron,490,2358,182,2978,490560
932,552789,1610,iron,518,2945,197,3041,555260
918,580744,1217,iron,470,2765,219,3227,514318
849,560988,1248,iron,405,3033,201,2933,550917
829,716634,2848,iron,588,4168,246,3760,761212
799,614809,1578,iron,476,2690,218,3352,509556
752,574820,1626,iron,421,2603,175,2727,500814
749,586194,2037,iron,479,2685,203,3004,519317
725,561132,1596,iron,486,2457,201,3138,482646
680,588095,2097,iron,479,3494,197,3318,636916
674,571836,3254,iron,441,5696,272,2864,967866
667,560042,3160,iron,413,4196,319,2991,745735
4313,1844466,4159,bronze,1768,9158,663,9919,1732735
4202,2232227,3131,bronze,1919,10127,750,11214,1942070
4122,1940632,3701,bronze,1489,8206,707,10307,1577644
4042,1829125,2912,bronze,1638,8185,620,9672,1544449
3905,2206452,5601,silver,1962,10738,820,11513,1983127
3724,1934050,3411,silver,1875,8466,660,10121,1609502
3371,1168514,2509,bronze,1017,5229,403,5904,1022604
3232,1483614,3108,iron,1102,7311,518,7758,1351777
3084,1708222,3510,silver,1596,9244,562,8997,1675102
3026,1727118,2892,bronze,1414,7862,591,8853,1472283
2938,1322491,2711,bronze,1158,5851,437,6968,1131342
2913,1389865,2333,bronze,1226,6350,487,7558,1203629
2908,1219489,2809,bronze,891,5546,490,6423,1073455
2896,1623658,3980,bronze,1421,8157,573,8848,1532715
2886,1287462,2688,bronze,1040,6256,463,6796,1181967
2885,1429851,3700,bronze,1161,7566,481,7400,1421907
2815,1688841,2700,bronze,1479,7655,552,8879,1402514
